category,machine,mode,language,impl,variant,memory_model,optimization_type,optimization_param,fp,nx,ny,nz,N,time_sec,performance_gflops,error,real_sec,user_sec,sys_sec,source_file
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,32,32,32,32768,2.954280e-01,47.24889,4.777080e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,64,64,64,262144,8.734800e-02,319.6099,1.214079e-05,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,128,128,128,2097152,4.777400e-02,1168.723,4.813602e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,256,256,256,16777216,7.434300e-02,1502.08,1.186005e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,32,512,512,512,134217728,1.663330e-01,1342.718,3.069118e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,32,32,32,32768,2.943350e-01,47.42434,4.342730e-15,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,64,64,64,262144,8.879800e-02,314.3909,1.448847e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,128,128,128,2097152,5.123000e-02,1089.88,4.691528e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,256,256,256,16777216,8.422900e-02,1325.78,1.877011e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.opt,managed,nthreads,NTHREADS=128,64,512,512,512,134217728,2.056500e-01,1086.012,7.088435e-09,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,32,32,32,32,32768,2.594560e-01,53.79966,4.777080e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,32,64,64,64,262144,7.948700e-02,351.2183,1.214079e-05,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,32,128,128,128,2097152,4.700100e-02,1187.944,4.813602e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,32,256,256,256,16777216,8.342000e-02,1338.638,1.186005e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,32,512,512,512,134217728,2.343550e-01,952.9914,3.069118e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,64,32,32,32,32768,2.610120e-01,53.47893,4.342730e-15,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,64,64,64,64,262144,8.083200e-02,345.3742,1.448847e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,64,128,128,128,2097152,5.260800e-02,1061.332,4.691528e-06,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,64,256,256,256,16777216,9.393500e-02,1188.792,1.877011e-07,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.opt,unified,nthreads,NTHREADS=128,64,512,512,512,134217728,2.960920e-01,754.2868,7.088435e-09,,,,Miyabi/A2.C++.acc.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,32,32,32,32,32768,3.053230e-01,45.71763,4.777080e-06,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,32,64,64,64,262144,8.936300e-02,312.4032,1.214079e-05,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,32,128,128,128,2097152,4.795700e-02,1164.263,4.813602e-06,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,32,256,256,256,16777216,6.963100e-02,1603.728,1.186005e-06,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,32,512,512,512,134217728,1.298260e-01,1720.289,3.069118e-07,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,64,32,32,32,32768,3.037340e-01,45.9568,4.342730e-15,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,64,64,64,64,262144,9.084500e-02,307.3068,1.448847e-07,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,64,128,128,128,2097152,5.059100e-02,1103.646,4.691528e-06,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,64,256,256,256,16777216,7.539500e-02,1481.121,1.877011e-07,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.def,separate,baseline,,64,512,512,512,134217728,1.409960e-01,1584.005,7.088435e-09,,,,Miyabi/A3.C++.acc.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,32,32,32,32768,3.035790e-01,45.98027,4.777080e-06,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,64,64,64,262144,8.952000e-02,311.8553,1.214079e-05,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,128,128,128,2097152,4.788000e-02,1166.136,4.813602e-06,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,256,256,256,16777216,6.953800e-02,1605.872,1.186005e-06,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,32,512,512,512,134217728,1.298390e-01,1720.117,3.069118e-07,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,32,32,32,32768,3.068360e-01,45.4922,4.342730e-15,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,64,64,64,262144,9.046900e-02,308.584,1.448847e-07,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,128,128,128,2097152,5.122600e-02,1089.966,4.691528e-06,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,256,256,256,16777216,7.531400e-02,1482.714,1.877011e-07,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,manu.opt,separate,nthreads,NTHREADS=128,64,512,512,512,134217728,1.410090e-01,1583.858,7.088435e-09,,,,Miyabi/A4.C++.acc.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,32,32,32,32,32768,2.570070e-01,54.31231,4.777080e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,32,64,64,64,262144,7.683400e-02,363.3455,1.214079e-05,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,32,128,128,128,2097152,4.599200e-02,1214.006,4.813602e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,32,256,256,256,16777216,7.431800e-02,1502.586,1.186005e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,32,512,512,512,134217728,1.665700e-01,1340.807,3.069118e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,64,32,32,32,32768,2.589320e-01,53.90853,4.342730e-15,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,64,64,64,64,262144,8.003300e-02,348.8222,1.448847e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,64,128,128,128,2097152,5.042200e-02,1107.346,4.691528e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,64,256,256,256,16777216,9.744200e-02,1146.006,1.877011e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.def,managed,baseline,,64,512,512,512,134217728,3.078840e-01,725.3976,7.088435e-09,,,,Miyabi/B1.C++.omp.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,32,32,32,32,32768,2.620260e-01,53.27198,4.777080e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,32,64,64,64,262144,7.921900e-02,352.4065,1.214079e-05,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,32,128,128,128,2097152,4.714500e-02,1184.316,4.813602e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,32,256,256,256,16777216,8.379900e-02,1332.583,1.186005e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,32,512,512,512,134217728,2.186270e-01,1021.549,3.069118e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,64,32,32,32,32768,2.620930e-01,53.25836,4.342730e-15,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,64,64,64,64,262144,8.125600e-02,343.572,1.448847e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,64,128,128,128,2097152,5.223400e-02,1068.932,4.691528e-06,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,64,256,256,256,16777216,9.326700e-02,1197.306,1.877011e-07,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.def,unified,baseline,,64,512,512,512,134217728,3.106590e-01,718.9178,7.088435e-09,,,,Miyabi/B1.C++.omp.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,32,32,32,32,32768,2.549390e-01,54.75288,4.777080e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,32,64,64,64,262144,7.752300e-02,360.1162,1.214079e-05,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,32,128,128,128,2097152,4.621800e-02,1208.07,4.813602e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,32,256,256,256,16777216,7.427300e-02,1503.496,1.186005e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,32,512,512,512,134217728,1.646700e-01,1356.278,3.069118e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,64,32,32,32,32768,2.625110e-01,53.17356,4.342730e-15,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,64,64,64,64,262144,7.957500e-02,350.8299,1.448847e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,64,128,128,128,2097152,4.814300e-02,1159.765,4.691528e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,64,256,256,256,16777216,8.374800e-02,1333.395,1.877011e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,auto.opt,managed,nthreads,NTHREADS=128,64,512,512,512,134217728,2.050650e-01,1089.11,7.088435e-09,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,32,32,32,32,32768,2.645030e-01,52.7731,4.777080e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,32,64,64,64,262144,7.912200e-02,352.8385,1.214079e-05,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,32,128,128,128,2097152,4.784400e-02,1167.013,4.813602e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,32,256,256,256,16777216,8.393800e-02,1330.377,1.186005e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,32,512,512,512,134217728,2.376040e-01,939.9602,3.069118e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,64,32,32,32,32768,2.633940e-01,52.9953,4.342730e-15,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,64,64,64,64,262144,8.065200e-02,346.145,1.448847e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,64,128,128,128,2097152,5.197100e-02,1074.341,4.691528e-06,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,64,256,256,256,16777216,9.303400e-02,1200.305,1.877011e-07,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openmp-target,auto.opt,unified,nthreads,NTHREADS=128,64,512,512,512,134217728,4.445400e-01,502.4032,7.088435e-09,,,,Miyabi/B2.C++.omp.auto.opt/log/bench.uni.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,32,32,32,32,32768,2.604760e-01,53.58898,4.777080e-06,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,32,64,64,64,262144,7.970400e-02,350.2621,1.214079e-05,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,32,128,128,128,2097152,4.577400e-02,1219.788,4.813602e-06,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,32,256,256,256,16777216,6.940100e-02,1609.042,1.186005e-06,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,32,512,512,512,134217728,1.303590e-01,1713.256,3.069118e-07,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,64,32,32,32,32768,2.609590e-01,53.4898,4.342730e-15,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,64,64,64,64,262144,7.941700e-02,351.5279,1.448847e-07,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,64,128,128,128,2097152,4.735100e-02,1179.164,4.691528e-06,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,64,256,256,256,16777216,7.476700e-02,1493.562,1.877011e-07,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.def,separate,baseline,,64,512,512,512,134217728,1.417090e-01,1576.035,7.088435e-09,,,,Miyabi/B3.C++.omp.manu.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,32,32,32,32,32768,2.624800e-01,53.17984,4.777080e-06,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,32,64,64,64,262144,7.820600e-02,356.9712,1.214079e-05,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,32,128,128,128,2097152,4.557500e-02,1225.114,4.813602e-06,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,32,256,256,256,16777216,6.897100e-02,1619.074,1.186005e-06,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,32,512,512,512,134217728,1.297090e-01,1721.841,3.069118e-07,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,64,32,32,32,32768,2.568070e-01,54.35461,4.342730e-15,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,64,64,64,64,262144,7.946000e-02,351.3376,1.448847e-07,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,64,128,128,128,2097152,4.750200e-02,1175.415,4.691528e-06,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openmp-target,manu.opt,separate,nthreads,NTHREADS=128,64,256,256,256,16777216,7.442000e-02,1500.526,1.877011e-07,,,,Miyabi/B4.C++.omp.manu.opt/log/bench.gpu.64_run.csv
